doc_id,annotator,model,model_reported,attempts,input_tokens,output_tokens,latency_s,called_at_utc,prompt_fingerprint
GT-098,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9934,1996,2.55,2026-09-18T23:57:23.193062+00:00,53c7ce151f935769
GT-088,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9946,1472,2.52,2026-09-18T23:55:40.459039+00:00,53c7ce151f935769
GT-141,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10019,2552,4.28,2026-09-18T23:43:32.418450+00:00,53c7ce151f935769
GT-118,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9879,1715,3.24,2026-09-18T23:41:00.157123+00:00,53c7ce151f935769
GT-079,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10086,2402,3.5,2026-09-18T23:54:41.527491+00:00,53c7ce151f935769
GT-084,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10090,1778,2.59,2026-09-18T03:25:59.936562+00:00,53c7ce151f935769
GT-145,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9959,1743,2.28,2026-09-18T23:44:11.761530+00:00,53c7ce151f935769
GT-076,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9864,2409,3.64,2026-09-18T03:25:14.035689+00:00,53c7ce151f935769
GT-144,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9906,1271,1.94,2026-09-18T03:12:42.926706+00:00,53c7ce151f935769
GT-092,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9878,1233,2.17,2026-09-18T23:56:07.026203+00:00,53c7ce151f935769
GT-140,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9973,1411,2.68,2026-09-19T00:02:14.284170+00:00,53c7ce151f935769
GT-053,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10113,1310,2.36,2026-09-18T23:51:37.194961+00:00,53c7ce151f935769
GT-096,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10033,2527,4.07,2026-09-18T03:06:54.690133+00:00,53c7ce151f935769
GT-014,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9879,1454,2.82,2026-09-18T23:47:16.728379+00:00,53c7ce151f935769
GT-045,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9925,1721,2.96,2026-09-18T03:00:44.337998+00:00,53c7ce151f935769
GT-080,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10024,1988,3.43,2026-09-18T23:54:48.454837+00:00,53c7ce151f935769
GT-125,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10099,1904,3.34,2026-09-18T23:41:46.797761+00:00,53c7ce151f935769
GT-038,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9864,1341,2.44,2026-09-18T23:49:54.865072+00:00,53c7ce151f935769
GT-114,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10096,2303,3.32,2026-09-18T23:59:01.787262+00:00,53c7ce151f935769
GT-114,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10096,1554,2.6,2026-09-18T23:40:35.333017+00:00,53c7ce151f935769
GT-028,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9970,1682,3.32,2026-09-18T02:58:32.169295+00:00,53c7ce151f935769
GT-010,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9999,2841,4.42,2026-09-18T23:46:51.372968+00:00,53c7ce151f935769
GT-105,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9985,2163,4.92,2026-09-18T23:39:39.019122+00:00,53c7ce151f935769
GT-002,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9815,1914,7.14,2026-09-18T02:55:08.340268+00:00,53c7ce151f935769
GT-005,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10080,2201,3.51,2026-09-18T02:55:26.586341+00:00,53c7ce151f935769
GT-107,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9946,1817,2.38,2026-09-18T23:39:51.597828+00:00,53c7ce151f935769
GT-020,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10161,2847,4.03,2026-09-18T02:57:39.574867+00:00,53c7ce151f935769
GT-157,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9833,2266,3.53,2026-09-18T03:14:25.932315+00:00,53c7ce151f935769
GT-014,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9879,1903,3.16,2026-09-18T02:56:29.567361+00:00,53c7ce151f935769
GT-154,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9938,1680,2.89,2026-09-18T23:45:08.730542+00:00,53c7ce151f935769
GT-017,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9970,2314,3.94,2026-09-18T23:47:37.134232+00:00,53c7ce151f935769
GT-042,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9935,2033,3.18,2026-09-18T03:19:38.232346+00:00,53c7ce151f935769
GT-051,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9995,1178,1.74,2026-09-18T03:20:32.992876+00:00,53c7ce151f935769
GT-012,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10018,1638,2.65,2026-09-18T23:47:04.467240+00:00,53c7ce151f935769
GT-082,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10047,1360,2.33,2026-09-18T23:55:01.238011+00:00,53c7ce151f935769
GT-051,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9995,1824,2.96,2026-09-18T03:01:39.490353+00:00,53c7ce151f935769
GT-016,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9955,1938,3.5,2026-09-18T23:47:29.697686+00:00,53c7ce151f935769
GT-108,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9836,1446,2.51,2026-09-18T03:08:16.935152+00:00,53c7ce151f935769
GT-043,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9996,2469,3.12,2026-09-18T03:19:44.857191+00:00,53c7ce151f935769
GT-006,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9954,3835,4.57,2026-09-18T02:55:34.657115+00:00,53c7ce151f935769
GT-159,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9946,1677,3.2,2026-09-18T23:45:39.605234+00:00,53c7ce151f935769
GT-112,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9967,2129,3.24,2026-09-18T03:08:45.115427+00:00,53c7ce151f935769
GT-063,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9966,2149,3.83,2026-09-18T03:02:57.981675+00:00,53c7ce151f935769
GT-148,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9874,2179,3.41,2026-09-19T00:03:10.110909+00:00,53c7ce151f935769
GT-081,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9990,1579,2.21,2026-09-18T03:25:43.370973+00:00,53c7ce151f935769
GT-036,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10016,1564,3.44,2026-09-18T02:59:29.551438+00:00,53c7ce151f935769
GT-088,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9946,2213,3.89,2026-09-18T03:06:01.250717+00:00,53c7ce151f935769
GT-137,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10410,1319,2.4,2026-09-18T23:43:04.294354+00:00,53c7ce151f935769
GT-037,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10523,1257,2.23,2026-09-18T03:18:51.786389+00:00,53c7ce151f935769
GT-062,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10039,1156,1.72,2026-09-18T23:52:50.958353+00:00,53c7ce151f935769
GT-041,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9827,1060,2.2,2026-09-18T23:50:13.879504+00:00,53c7ce151f935769
